Job_Title,Company,Location,Experience_Level,Salary,Industry,Date_Posted
Data Scientist,Google,New York,Senior,150000,Tech,2024-10-01
Software Engineer,Microsoft,San Francisco,Mid,120000,Tech,2024-09-29
Product Manager,Amazon,Seattle,Junior,90000,E-Commerce,2024-09-15
Data Analyst,Facebook,Los Angeles,Mid,110000,Tech,2024-09-20
HR Specialist,Tesla,Austin,Senior,130000,Automotive,2024-10-02
Marketing Manager,Netflix,Chicago,Mid,115000,Media,2024-09-18
DevOps Engineer,IBM,Houston,Senior,140000,Tech,2024-09-30
Graphic Designer,Adobe,Denver,Junior,80000,Design,2024-09-21
UX Designer,Spotify,Boston,Mid,105000,Design,2024-09-25
Accountant,Uber,Miami,Junior,95000,Finance,2024-10-03
Cybersecurity Specialist,Apple,Dallas,Senior,145000,Tech,2024-10-01
Technical Writer,Cisco,San Diego,Mid,110000,Tech,2024-09-30
Business Analyst,Salesforce,San Francisco,Junior,85000,Finance,2024-09-19
Recruiter,Snapchat,New York,Mid,100000,HR,2024-09-22
Sales Manager,Twitter,Seattle,Senior,135000,Sales,2024-09-24
Frontend Developer,Airbnb,Austin,Junior,95000,Tech,2024-09-23
Backend Developer,Oracle,Chicago,Senior,140000,Tech,2024-09-27
Project Manager,LinkedIn,Boston,Mid,110000,Tech,2024-10-04
Mobile Developer,Paypal,San Diego,Junior,90000,Tech,2024-09-25
Data Engineer,Intel,Miami,Senior,125000,Tech,2024-10-05
